natTi(p,x)48V


	fit	fit
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.
MeV	mb	mb	(MBq/uAh)	(uCi/uAh)	(MBq/uA)
29.7	34.47	1.43	2.65E+01	7.16E+02	2.65E+01
29.8	34.31	1.42	2.65E+01	7.17E+02	2.65E+01
29.9	34.16	1.42	2.66E+01	7.18E+02	2.66E+01
30.0	34.00	1.41	2.66E+01	7.19E+02	2.66E+01
30.1	33.86	1.41	2.67E+01	7.20E+02	2.66E+01
30.2	33.71	1.40	2.67E+01	7.21E+02	2.67E+01
30.3	33.58	1.40	2.67E+01	7.22E+02	2.67E+01
30.4	33.44	1.39	2.68E+01	7.24E+02	2.67E+01
30.5	33.31	1.39	2.68E+01	7.25E+02	2.68E+01
30.6	33.18	1.38	2.68E+01	7.26E+02	2.68E+01
30.7	33.06	1.38	2.69E+01	7.27E+02	2.69E+01
30.8	32.94	1.37	2.69E+01	7.28E+02	2.69E+01
30.9	32.83	1.37	2.70E+01	7.29E+02	2.69E+01
31.0	32.71	1.36	2.70E+01	7.30E+02	2.70E+01
31.1	32.61	1.36	2.70E+01	7.31E+02	2.70E+01
31.2	32.50	1.35	2.71E+01	7.32E+02	2.71E+01
31.3	32.40	1.35	2.71E+01	7.33E+02	2.71E+01
31.4	32.30	1.34	2.72E+01	7.34E+02	2.71E+01
31.5	32.20	1.34	2.72E+01	7.35E+02	2.72E+01
31.6	32.11	1.34	2.72E+01	7.36E+02	2.72E+01
31.7	32.02	1.33	2.73E+01	7.37E+02	2.72E+01
31.8	31.93	1.33	2.73E+01	7.38E+02	2.73E+01
31.9	31.84	1.32	2.73E+01	7.39E+02	2.73E+01
32.0	31.76	1.32	2.74E+01	7.40E+02	2.74E+01
32.1	31.67	1.32	2.74E+01	7.41E+02	2.74E+01
32.2	31.59	1.31	2.75E+01	7.42E+02	2.74E+01
32.3	31.52	1.31	2.75E+01	7.43E+02	2.75E+01
32.4	31.44	1.31	2.75E+01	7.44E+02	2.75E+01
32.5	31.37	1.30	2.76E+01	7.45E+02	2.76E+01
32.6	31.29	1.30	2.76E+01	7.46E+02	2.76E+01
32.7	31.22	1.30	2.77E+01	7.47E+02	2.76E+01
32.8	31.15	1.30	2.77E+01	7.48E+02	2.77E+01
32.9	31.09	1.29	2.77E+01	7.49E+02	2.77E+01
33.0	31.02	1.29	2.78E+01	7.50E+02	2.77E+01
33.1	30.95	1.29	2.78E+01	7.51E+02	2.78E+01
33.2	30.89	1.28	2.78E+01	7.52E+02	2.78E+01
33.3	30.82	1.28	2.79E+01	7.54E+02	2.79E+01
33.4	30.76	1.28	2.79E+01	7.55E+02	2.79E+01
33.5	30.70	1.28	2.80E+01	7.56E+02	2.79E+01
33.6	30.64	1.27	2.80E+01	7.57E+02	2.80E+01
33.7	30.58	1.27	2.80E+01	7.58E+02	2.80E+01
33.8	30.51	1.27	2.81E+01	7.59E+02	2.80E+01
33.9	30.45	1.27	2.81E+01	7.60E+02	2.81E+01
34.0	30.39	1.26	2.81E+01	7.61E+02	2.81E+01
34.1	30.33	1.26	2.82E+01	7.62E+02	2.82E+01
34.2	30.27	1.26	2.82E+01	7.63E+02	2.82E+01
34.3	30.21	1.26	2.83E+01	7.64E+02	2.82E+01
34.4	30.15	1.25	2.83E+01	7.65E+02	2.83E+01
34.5	30.09	1.25	2.83E+01	7.66E+02	2.83E+01
34.6	30.03	1.25	2.84E+01	7.67E+02	2.84E+01
34.7	29.96	1.25	2.84E+01	7.68E+02	2.84E+01
34.8	29.90	1.24	2.85E+01	7.69E+02	2.84E+01
34.9	29.84	1.24	2.85E+01	7.70E+02	2.85E+01
35.0	29.77	1.24	2.85E+01	7.71E+02	2.85E+01
35.1	29.71	1.24	2.86E+01	7.72E+02	2.85E+01
35.2	29.64	1.24	2.86E+01	7.73E+02	2.86E+01
35.3	29.57	1.23	2.86E+01	7.74E+02	2.86E+01
35.4	29.50	1.23	2.87E+01	7.75E+02	2.87E+01
35.5	29.43	1.23	2.87E+01	7.76E+02	2.87E+01
35.6	29.36	1.23	2.88E+01	7.77E+02	2.87E+01
35.7	29.29	1.22	2.88E+01	7.78E+02	2.88E+01
35.8	29.21	1.22	2.88E+01	7.79E+02	2.88E+01
35.9	29.14	1.22	2.89E+01	7.81E+02	2.89E+01
36.0	29.06	1.21	2.89E+01	7.82E+02	2.89E+01
36.1	28.99	1.21	2.90E+01	7.83E+02	2.89E+01
36.2	28.91	1.21	2.90E+01	7.84E+02	2.90E+01
36.3	28.83	1.20	2.90E+01	7.85E+02	2.90E+01
36.4	28.75	1.20	2.91E+01	7.86E+02	2.90E+01
36.5	28.67	1.20	2.91E+01	7.87E+02	2.91E+01
36.6	28.59	1.19	2.91E+01	7.88E+02	2.91E+01
36.7	28.51	1.19	2.92E+01	7.89E+02	2.92E+01
36.8	28.43	1.19	2.92E+01	7.90E+02	2.92E+01
36.9	28.35	1.18	2.93E+01	7.91E+02	2.92E+01
37.0	28.26	1.18	2.93E+01	7.92E+02	2.93E+01
37.1	28.18	1.18	2.93E+01	7.93E+02	2.93E+01
37.2	28.09	1.17	2.94E+01	7.94E+02	2.94E+01
37.3	28.00	1.17	2.94E+01	7.95E+02	2.94E+01
37.4	27.92	1.17	2.95E+01	7.96E+02	2.94E+01
37.5	27.83	1.16	2.95E+01	7.97E+02	2.95E+01
37.6	27.74	1.16	2.95E+01	7.98E+02	2.95E+01
37.7	27.65	1.15	2.96E+01	7.99E+02	2.95E+01
37.8	27.56	1.15	2.96E+01	8.00E+02	2.96E+01
