#ZVView-data-copy:  15-Feb-2023 18:49:49
#=======================================
#
#name:   29-CU-0(P,X)30-ZN-62,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  403
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          22.6          0.4       0.0596       0.0059  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.9%
          22.6         0.49      0.07182       0.0081  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         22.63         0.45       0.0639       0.0033  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
          22.7          0.4       0.0606       0.0061  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.1%
         23.15        0.155       0.0717       0.0076  # 2013,J.R.Griswold+       ## C2048004  #dY:10.6%
          23.3         0.34       0.0644     0.001932  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         23.42         0.45        0.066       0.0034  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
          23.6          0.8       0.0646       0.0075  # 1999,A.Hermanne+         ## D4088006  #dY:11.6%
         23.64         0.47      0.07529      0.00848  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         23.69         0.58       0.0731       0.0051  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         23.69         0.58       0.0744       0.0051  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
          23.7          0.4       0.0642       0.0064  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
         23.78            1       0.0713       0.0052  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:7.3%
         24.07        0.165       0.0717       0.0076  # 2013,J.R.Griswold+       ## C2048004  #dY:10.6%
          24.1          0.4       0.0661       0.0066  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
          24.2         0.45       0.0658       0.0034  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
          24.2         0.34       0.0635     0.001905  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          24.3            0       0.0655       0.0053  # 1992,S.J.Mills+          ## A0507002  #dY:8.1%
          24.3          0.4       0.0649       0.0065  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
          24.4          0.6        0.063       0.0065  # 2007,M.U.Khandaker+      ## D0446016  #dY:10.3%
          24.5          0.3       0.0665       0.0043  # 2015,M.Shahid+           ## D7015002  #dY:6.5%
         24.64         0.44      0.07457       0.0084  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         24.85         0.55       0.0716        0.005  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         24.85         0.55       0.0724        0.005  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
         24.96         0.45       0.0634       0.0033  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
          25.1         0.14       0.0689       0.0073  # 2013,J.R.Griswold+       ## C2048004  #dY:10.6%
          25.2          0.4       0.0649       0.0065  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
          25.2         0.34       0.0616     0.001848  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          25.2          0.7        0.065       0.0075  # 1999,A.Hermanne+         ## D4088006  #dY:11.5%
          25.3        0.829       0.0647      0.00332  # 1997,R.Michel+           ## O0276139  #dY:5.1%
         25.62         0.42      0.07096        0.008  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         25.71         0.45       0.0608       0.0031  # 1985,P.Kopecky           ## A0333003  #dY:5.1%
          25.8        0.829       0.0697      0.00497  # 1997,R.Michel+           ## O0276139  #dY:7.1%
          26.1          0.5       0.0571       0.0055  # 2007,M.U.Khandaker+      ## D0446016  #dY:9.6%
          26.2          0.4       0.0629       0.0063  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
          26.3          0.4       0.0558       0.0056  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:10.0%
         26.43         0.45        0.058        0.003  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
         26.56          0.4      0.06679      0.00753  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          26.6          0.3       0.0585       0.0038  # 2015,M.Shahid+           ## D7015002  #dY:6.5%
         26.62          0.5       0.0603       0.0042  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         26.62          0.5       0.0613       0.0042  # 2020,J.Cervenak+         ## D0985009  #dY:6.9%
          26.7         0.34       0.0551     0.001653  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          26.7          0.6       0.0589       0.0068  # 1999,A.Hermanne+         ## D4088006  #dY:11.5%
        26.984            0       0.0558       0.0052  # 2004,M.S.Uddin+          ## E1894005  #dY:9.3%
         27.08         0.13       0.0573       0.0061  # 2013,J.R.Griswold+       ## C2048004  #dY:10.6%
          27.1         0.34       0.0525     0.001575  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         27.15         0.45       0.0528       0.0027  # 1985,P.Kopecky           ## A0333003  #dY:5.1%
          27.3         0.34       0.0519     0.001557  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          27.4          0.4       0.0513       0.0051  # 2006,F.S.Al-Saleh+       ## D0422002  #dY:9.9%
         27.48         0.38      0.05903      0.00665  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         27.51            1       0.0537        0.004  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:7.4%
          27.6            0       0.0491       0.0039  # 1992,S.J.Mills+          ## A0507002  #dY:7.9%
          27.8        0.803        0.047      0.00242  # 1997,R.Michel+           ## O0276139  #dY:5.1%
         27.85         0.45       0.0471       0.0024  # 1985,P.Kopecky           ## A0333003  #dY:5.1%
          28.1          0.6       0.0481       0.0057  # 1999,A.Hermanne+         ## D4088006  #dY:11.9%
         28.34         0.46       0.0473       0.0033  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         28.34         0.46       0.0484       0.0033  # 2020,J.Cervenak+         ## D0985009  #dY:6.8%
         28.38         0.36        0.051      0.00576  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          28.5          0.3       0.0444       0.0029  # 2015,M.Shahid+           ## D7015002  #dY:6.5%
         28.52         0.45       0.0438       0.0023  # 1985,P.Kopecky           ## A0333003  #dY:5.3%
            29          0.5       0.0402       0.0044  # 2007,M.U.Khandaker+      ## D0446016  #dY:10.9%
          29.2         0.45       0.0401       0.0021  # 1985,P.Kopecky           ## A0333003  #dY:5.2%
          29.2         0.78       0.0451      0.00322  # 1997,R.Michel+           ## O0276139  #dY:7.1%
         29.26         0.35      0.04441      0.00502  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          29.5          0.6       0.0384       0.0046  # 1999,A.Hermanne+         ## D4088006  #dY:12.0%
          29.6         0.34       0.0366     0.001098  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         29.86         0.45       0.0356       0.0019  # 1985,P.Kopecky           ## A0333003  #dY:5.3%
          29.9        0.095       0.0374        0.004  # 2013,J.R.Griswold+       ## C2048004  #dY:10.7%
         29.96         0.42       0.0355       0.0025  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         29.96         0.42       0.0366       0.0025  # 2020,J.Cervenak+         ## D0985009  #dY:6.8%
            30          2.1        0.071        0.013  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:18.3%
          30.1          0.4       0.0357      0.00346  # 2007,M.U.Khandaker+      ## D0446016  #dY:9.7%
         30.12         0.33       0.0427      0.00483  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          30.2        0.774       0.0323      0.00167  # 1997,R.Michel+           ## O0276139  #dY:5.2%
          30.4          0.3       0.0334       0.0022  # 2015,M.Shahid+           ## D7015002  #dY:6.6%
          30.5         0.34       0.0316     0.000948  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         30.51         0.45       0.0312       0.0017  # 1985,P.Kopecky           ## A0333003  #dY:5.4%
          30.6            0       0.0293       0.0024  # 1992,S.J.Mills+          ## A0507002  #dY:8.2%
          30.8          0.5       0.0331        0.004  # 1999,A.Hermanne+         ## D4088006  #dY:12.1%
         30.88            1       0.0322       0.0025  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:7.8%
         30.96         0.32      0.03369      0.00382  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
         31.15         0.45       0.0282       0.0016  # 1985,P.Kopecky           ## A0333003  #dY:5.7%
         31.53         0.39       0.0273       0.0019  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         31.53         0.39       0.0284        0.002  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         31.78         0.45       0.0258       0.0015  # 1985,P.Kopecky           ## A0333003  #dY:5.8%
         31.78          0.3      0.03052      0.00346  # 2002,S.Takacs+           ## D4106004  #dY:11.3%
          32.1         0.34       0.0245     0.000735  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          32.1         0.34       0.0245     0.000735  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          32.2          0.4       0.0259       0.0032  # 1999,A.Hermanne+         ## D4088006  #dY:12.4%
          32.2          0.3       0.0251       0.0017  # 2015,M.Shahid+           ## D7015002  #dY:6.8%
          32.4         0.45       0.0232       0.0013  # 1985,P.Kopecky           ## A0333003  #dY:5.6%
          32.5        0.745       0.0224      0.00116  # 1997,R.Michel+           ## O0276139  #dY:5.2%
            33        0.742       0.0237       0.0017  # 1997,R.Michel+           ## O0276139  #dY:7.2%
         33.01         0.06       0.0217       0.0023  # 2013,J.R.Griswold+       ## C2048004  #dY:10.6%
         33.02         0.36       0.0223       0.0015  # 2020,J.Cervenak+         ## D0985009  #dY:6.7%
         33.02         0.36       0.0229       0.0016  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
          33.2          0.4       0.0213       0.0024  # 2007,M.U.Khandaker+      ## D0446016  #dY:11.3%
          33.4            0       0.0188       0.0015  # 1992,S.J.Mills+          ## A0507002  #dY:8.0%
          33.5          0.5       0.0213       0.0028  # 1999,A.Hermanne+         ## D4088006  #dY:13.1%
          33.9          0.2       0.0199       0.0014  # 2015,M.Shahid+           ## D7015002  #dY:7.0%
          34.3         0.34      0.01762    0.0005286  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
         34.49         0.33       0.0182       0.0013  # 2020,J.Cervenak+         ## D0985009  #dY:7.1%
         34.49         0.33       0.0185       0.0013  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
         34.53            1       0.0188       0.0017  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:9.0%
          34.7          0.5       0.0188       0.0026  # 1999,A.Hermanne+         ## D4088006  #dY:13.8%
          34.7        0.715        0.017     0.000891  # 1997,R.Michel+           ## O0276139  #dY:5.2%
         34.85        0.015       0.0179       0.0019  # 2013,J.R.Griswold+       ## C2048004  #dY:10.6%
          35.5          0.2        0.016       0.0012  # 2015,M.Shahid+           ## D7015002  #dY:7.5%
          35.9          0.3       0.0158       0.0011  # 2020,J.Cervenak+         ## D0985009  #dY:7.0%
          35.9          0.3       0.0162       0.0011  # 2020,J.Cervenak+         ## D0985009  #dY:6.8%
          35.9        0.705        0.017      0.00122  # 1997,R.Michel+           ## O0276139  #dY:7.2%
            36          1.3        0.022       0.0041  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:18.6%
          36.1            0       0.0141       0.0011  # 1992,S.J.Mills+          ## A0507002  #dY:7.8%
          36.7        0.689       0.0141     0.000742  # 1997,R.Michel+           ## O0276139  #dY:5.3%
          36.8         2.13       0.0158      0.00182  # 1997,R.Michel+           ## O0276139  #dY:11.5%
          36.9         0.34      0.01357    0.0004071  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          37.1          0.2       0.0138        0.001  # 2015,M.Shahid+           ## D7015002  #dY:7.2%
          37.5          0.3       0.0148       0.0017  # 2007,M.U.Khandaker+      ## D0446016  #dY:11.5%
         37.88            1       0.0131       0.0013  # 2006,E.Z.Buthelezi+      ## O1424003  #dY:9.9%
          38.6            0        0.013       0.0011  # 1992,S.J.Mills+          ## A0507002  #dY:8.5%
          38.6         0.34      0.01225    0.0003675  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          38.6        0.667       0.0141     0.000999  # 1997,R.Michel+           ## O0276139  #dY:7.1%
          38.7          0.2       0.0127        0.001  # 2015,M.Shahid+           ## D7015002  #dY:7.9%
          38.7        0.671       0.0126     0.000666  # 1997,R.Michel+           ## O0276139  #dY:5.3%
        39.213            0        0.014       0.0013  # 2004,M.S.Uddin+          ## E1894005  #dY:9.3%
          39.5         1.26       0.0144      0.00103  # 1997,R.Michel+           ## O0276139  #dY:7.2%
          39.6        0.933       0.0133      0.00107  # 1997,R.Michel+           ## O0276139  #dY:8.0%
          40.1          0.2       0.0122       0.0009  # 2015,M.Shahid+           ## D7015002  #dY:7.4%
          40.5          0.2       0.0124       0.0017  # 2007,M.U.Khandaker+      ## D0446016  #dY:13.7%
          40.6        0.641       0.0122     0.000644  # 1997,R.Michel+           ## O0276139  #dY:5.3%
          40.9         0.34      0.01145    0.0003435  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          41.1        0.631       0.0127     0.000911  # 1997,R.Michel+           ## O0276139  #dY:7.2%
          41.5            0       0.0123        0.001  # 1992,S.J.Mills+          ## A0507002  #dY:8.1%
          41.6          0.2       0.0123       0.0009  # 2015,M.Shahid+           ## D7015002  #dY:7.3%
          41.9         1.25       0.0153       0.0011  # 1997,R.Michel+           ## O0276139  #dY:7.2%
          42.4        0.609       0.0119     0.000625  # 1997,R.Michel+           ## O0276139  #dY:5.3%
          42.5         0.34      0.01149    0.0003447  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
            43          0.2       0.0123       0.0009  # 2015,M.Shahid+           ## D7015002  #dY:7.3%
          43.5         1.24       0.0132     0.000976  # 1997,R.Michel+           ## O0276139  #dY:7.4%
          43.7        0.887       0.0122     0.000627  # 1997,R.Michel+           ## O0276139  #dY:5.1%
          43.8            0      0.01205      0.00098  # 1992,S.J.Mills+          ## A0507002  #dY:8.1%
          44.1        0.577       0.0129      0.00092  # 1997,R.Michel+           ## O0276139  #dY:7.1%
          44.2        0.894       0.0119      0.00101  # 1997,R.Michel+           ## O0276139  #dY:8.5%
          44.2        0.576       0.0119     0.000623  # 1997,R.Michel+           ## O0276139  #dY:5.2%
          45.4         0.87       0.0124     0.000634  # 1997,R.Michel+           ## O0276139  #dY:5.1%
          45.6         0.34      0.01122    0.0003366  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          45.6         0.34      0.01131    0.0003393  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          45.9            0      0.01196      0.00097  # 1992,S.J.Mills+          ## A0507002  #dY:8.1%
          45.9         1.23       0.0121     0.000863  # 1997,R.Michel+           ## O0276139  #dY:7.1%
          46.1         1.23       0.0141      0.00101  # 1997,R.Michel+           ## O0276139  #dY:7.2%
          46.7        0.869       0.0129     0.000953  # 1997,R.Michel+           ## O0276139  #dY:7.4%
          46.7         1.22       0.0127     0.000918  # 1997,R.Michel+           ## O0276139  #dY:7.2%
          47.1        0.856       0.0123     0.000629  # 1997,R.Michel+           ## O0276139  #dY:5.1%
            48            0      0.01215      0.00099  # 1992,S.J.Mills+          ## A0507002  #dY:8.1%
          48.1         1.21       0.0123     0.000883  # 1997,R.Michel+           ## O0276139  #dY:7.2%
          48.8        0.837       0.0124     0.000634  # 1997,R.Michel+           ## O0276139  #dY:5.1%
            49        0.846        0.012     0.000905  # 1997,R.Michel+           ## O0276139  #dY:7.5%
        49.048            0        0.012      0.00114  # 2004,M.S.Uddin+          ## E1894005  #dY:9.5%
          49.1         0.34      0.01122    0.0003366  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          49.1         0.34      0.01124    0.0003372  # 1982,A.Gruetter          ## D0505005  #dY:3.0%
          49.9          1.2       0.0137     0.000997  # 1997,R.Michel+           ## O0276139  #dY:7.3%
            50          2.1       0.0086       0.0016  # 1987,V.N.Aleksandrov+    ## A0351002  #dY:18.6%
          50.1            0       0.0116      0.00094  # 1992,S.J.Mills+          ## A0507002  #dY:8.1%
          50.3          1.2        0.012     0.000889  # 1997,R.Michel+           ## O0276139  #dY:7.4%
